service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS 22_23-31649,0,0,0,0,0,0,1,20221120,20221120
ATS 22_23-31724,0,0,0,0,1,0,0,20221125,20221125
ATS 22_23-31718,0,0,0,0,0,1,0,20221126,20221126
ATS 22_23-31717,0,0,0,0,0,0,1,20221127,20221127
ATS 22_23-31164,1,1,1,1,1,0,0,20221128,20221128
ATS 22_23-31179,0,1,0,0,0,0,0,20221129,20221129
ATS 22_23-31172,1,1,1,1,1,0,0,20221130,20221130
ATS 22_23-31000,1,1,1,1,1,0,0,20221205,20221206
ATS 22_23-31316,1,1,1,1,1,0,0,20221212,20221212
BBL 22_23-30064,1,1,1,1,1,0,0,20221115,20230113
BCC 22_23-31470,1,1,1,1,1,0,0,20221115,20230113
BCC 22_23-31472,0,0,0,0,0,1,0,20221119,20230114
BCC 22_23-31471,0,0,0,0,0,0,1,20221120,20230108
BITS 22_23-30132,1,1,1,1,1,0,0,20221115,20230113
BITS 22_23-30132-0000100,0,0,0,0,1,0,0,20221115,20230113
BITS 22_23-30135,0,0,0,0,0,1,0,20221119,20230114
BITS 22_23-30131,0,0,0,0,0,0,1,20221120,20230108
BITS 22_23-30134,1,1,1,1,1,1,1,20221225,20221225
CDC 22_23-31350,1,1,1,1,1,0,0,20221115,20221209
BT 22_23-31334,1,1,1,1,1,0,0,20221115,20221118
BT 22_23-31334-0000100,0,0,0,0,1,0,0,20221115,20221118
BT 22_23-31334-1000000,1,0,0,0,0,0,0,20221115,20221118
BT 22_23-31334-0111100,0,1,1,1,1,0,0,20221115,20221118
BT 22_23-31331,0,0,0,0,0,1,0,20221119,20230114
BT 22_23-31330,0,0,0,0,0,0,1,20221120,20230108
BT 22_23-31333,1,1,1,1,1,0,0,20221121,20221209
BT 22_23-31333-0000100,0,0,0,0,1,0,0,20221121,20221209
BT 22_23-31333-1000000,1,0,0,0,0,0,0,20221121,20221209
BT 22_23-31333-0111100,0,1,1,1,1,0,0,20221121,20221209
BT 22_23-31338,1,1,1,1,1,0,0,20221212,20230113
BT 22_23-31338-0000100,0,0,0,0,1,0,0,20221212,20230113
BT 22_23-31337,0,0,0,0,0,0,1,20221225,20230102
CBL 22_23-30467,1,1,1,1,1,0,0,20221115,20221118
CBL 22_23-30467-0001000,0,0,0,1,0,0,0,20221115,20221118
CBL 22_23-30469,0,0,0,0,0,1,0,20221119,20221119
CBL 22_23-30470,0,0,0,0,0,0,1,20221120,20221120
CBL 22_23-31593,1,1,1,1,1,0,0,20221121,20221209
