service_id,date,exception_type
BBL 22_23-30064,20221226,2
BBL 22_23-30064,20221227,2
BBL 22_23-30064,20230102,2
BCC 22_23-31470,20221226,2
BCC 22_23-31470,20221227,2
BCC 22_23-31470,20230102,2
BCC 22_23-31471,20221226,1
BCC 22_23-31471,20221227,1
BCC 22_23-31471,20230102,1
BITS 22_23-30132,20221226,2
BITS 22_23-30132-0000100,20221226,2
BITS 22_23-30132,20221227,2
BITS 22_23-30132-0000100,20221227,2
BITS 22_23-30132,20230102,2
BITS 22_23-30132-0000100,20230102,2
BITS 22_23-30131,20221225,2
BITS 22_23-30131,20221226,1
BITS 22_23-30131,20221227,1
BITS 22_23-30131,20230102,1
BT 22_23-31330,20221225,2
BT 22_23-31338,20221226,2
BT 22_23-31338-0000100,20221226,2
BT 22_23-31338,20221227,2
BT 22_23-31338-0000100,20221227,2
BT 22_23-31338,20230102,2
BT 22_23-31338-0000100,20230102,2
BT 22_23-31337,20230101,2
BT 22_23-31337,20221226,1
BT 22_23-31337,20221227,1
BT 22_23-31337,20230102,1
CBL 22_23-31598,20221226,1
CBL 22_23-31598,20221227,1
CBL 22_23-31598,20230102,1
CBL 22_23-31594,20221226,2
CBL 22_23-31594-0001000,20221226,2
CBL 22_23-31594,20221227,2
CBL 22_23-31594-0001000,20221227,2
CBL 22_23-31594,20230102,2
CBL 22_23-31594-0001000,20230102,2
GCLR 22_23-31205,20221121,2
GCLR 22_23-31205,20221122,2
GCLR 22_23-31205,20221123,2
GCLR 22_23-31205,20221124,2
GCLR 22_23-31205,20221128,2
GCLR 22_23-31205,20221129,2
GCLR 22_23-31205,20221130,2
GCLR 22_23-31205,20221201,2
GCLR 22_23-31205,20221205,2
GCLR 22_23-31205,20221206,2
GCLR 22_23-31205,20221207,2
GCLR 22_23-31205,20221208,2
GCLR 22_23-31963,20221204,2
GUNM-30346,20221226,2
GUNM-30346,20221227,2
GUNM-30346,20221228,2
GUNM-30346,20221229,2
GUNM-30346,20221230,2
GUNM-30346,20230102,2
GUNM-30346,20230103,2
GUNM-30346,20230104,2
GUNM-30346,20230105,2
GUNM-30346,20230106,2
HBL 22_23-31552,20221226,2
HBL 22_23-31552,20221227,2
HBL 22_23-31552,20230102,2
HBL 22_23-31554,20221231,2
HBL 22_23-31555,20221225,2
HBL 22_23-31555,20230101,2
HBL 22_23-31556,20221226,1
HBL 22_23-31556,20221227,1
HBL 22_23-31556,20230102,1
KBL 22_23-31850,20221210,2
KBL 22_23-31850,20221231,2
KBL 22_23-31849,20221225,2
KBL 22_23-31849,20221226,1
KBL 22_23-31849,20221227,1
KBL 22_23-31849,20230102,1
KBL 22_23-31848,20221217,2
KBL 22_23-31848,20221224,2
KBL 22_23-31854,20221226,2
KBL 22_23-31854,20221227,2
KBL 22_23-31854,20230102,2
LBS 22_23-31197,20221226,2
LBS 22_23-31197,20221227,2
LBS 22_23-31197,20230102,2
LBS 22_23-31198,20221226,1
LBS 22_23-31198,20221227,1
LBS 22_23-31198,20230102,1
LCBS 22_23-31701,20221225,2
LCBS 22_23-31701,20230101,2
LCBS 22_23-31796,20221226,2
LCBS 22_23-31796-0001000,20221226,2
LCBS 22_23-31796-0000100,20221226,2
LCBS 22_23-31796,20221227,2
LCBS 22_23-31796-0001000,20221227,2
LCBS 22_23-31796-0000100,20221227,2
LCBS 22_23-31796,20230102,2
LCBS 22_23-31796-0001000,20230102,2
LCBS 22_23-31796-0000100,20230102,2
LCBS 22_23-31698,20221226,1
LCBS 22_23-31698,20221227,1
LCBS 22_23-31698,20230102,1
LOGC 22_23-30141,20221226,2
LOGC 22_23-30141,20221227,2
LOGC 22_23-30141,20230102,2
MGB 22_23-30465,20221225,2
MGB 22_23-30465,20230101,2
MGB 22_23-30463,20221226,2
MGB 22_23-30463,20221227,2
MGB 22_23-30463,20230102,2
PRT 22_23-30630,20221226,1
PRT 22_23-30630,20221227,1
PRT 22_23-30630,20230102,1
PRT 22_23-30631,20221226,2
PRT 22_23-30631,20221227,2
PRT 22_23-30631,20230102,2
QR 22_23-31746,20221225,2
QR 22_23-31746,20230101,2
SBL 22_23-31561,20221226,1
SBL 22_23-31561,20221227,1
SBL 22_23-31561,20230102,1
SBL 22_23-31558,20221226,2
SBL 22_23-31558-0000100,20221226,2
SBL 22_23-31558-1111000,20221226,2
SBL 22_23-31558,20221227,2
SBL 22_23-31558-0000100,20221227,2
SBL 22_23-31558-1111000,20221227,2
SBL 22_23-31558,20230102,2
SBL 22_23-31558-0000100,20230102,2
SBL 22_23-31558-1111000,20230102,2
SUN 22_23-31665,20221225,2
SUN 22_23-31665,20230101,2
SUN 22_23-31667,20221226,2
SUN 22_23-31667-1111000,20221226,2
SUN 22_23-31667-0010000,20221226,2
SUN 22_23-31667-1110100,20221226,2
SUN 22_23-31667-0001000,20221226,2
SUN 22_23-31667-0000100,20221226,2
SUN 22_23-31667,20221227,2
SUN 22_23-31667-1111000,20221227,2
SUN 22_23-31667-0010000,20221227,2
SUN 22_23-31667-1110100,20221227,2
SUN 22_23-31667-0001000,20221227,2
SUN 22_23-31667-0000100,20221227,2
SUN 22_23-31667,20230102,2
SUN 22_23-31667-1111000,20230102,2
SUN 22_23-31667-0010000,20230102,2
SUN 22_23-31667-1110100,20230102,2
SUN 22_23-31667-0001000,20230102,2
SUN 22_23-31667-0000100,20230102,2
SUN 22_23-30728,20221226,1
SUN 22_23-30728,20221227,1
